yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1943,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,0.986904,1.051282,1.064516,0.828921,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,models/korakuen_stadium
1944,AL,ASH,ASH,Tokyo Asahi,Korakuen Stadium,42337,0.897611,0.8125,0.7,0.94697,ASH,ASH,ASH,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,models/korakuen_stadium
1944,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,0.819149,0.952381,0.833333,0.713178,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.819149,0.952381,0.833333,0.713178,0.819149,0.952381,0.833333,0.713178,0.819149,0.952381,0.833333,0.713178,models/nishinomiya_stadium
1944,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,0.901515,0.85,1.142857,0.806202,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.901515,0.85,1.142857,0.806202,0.901515,0.85,1.142857,0.806202,0.901515,0.85,1.142857,0.806202,
1944,AL,KGR,KGR,Osaka Great Ring,Hankyu Nishinomiya Stadium,35000,0.819149,0.952381,0.833333,0.713178,KGR,KGR,KGR,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.819149,0.952381,0.833333,0.713178,0.819149,0.952381,0.833333,0.713178,0.819149,0.952381,0.833333,0.713178,models/nishinomiya_stadium
1944,AL,SNG,SNG,Sangyo,Korakuen Stadium,42337,0.897611,0.8125,0.7,0.94697,SNG,SNG,SNG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,models/korakuen_stadium
1944,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,0.897611,0.8125,0.7,0.94697,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,0.897611,0.8125,0.7,0.94697,models/korakuen_stadium
1946,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,0.91686,0.934307,0.755814,0.851293,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.91686,0.934307,0.755814,0.851293,0.91686,0.934307,0.755814,0.851293,0.91686,0.934307,0.755814,0.851293,models/korakuen_stadium
1946,AL,DES,DES,Tokyo Stars,Hankyu Nishinomiya Stadium,35000,0.95246,0.890411,1.176471,0.910532,DES,DES,DES,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.95246,0.890411,1.176471,0.910532,0.95246,0.890411,1.176471,0.910532,0.95246,0.890411,1.176471,0.910532,models/nishinomiya_stadium
1946,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,0.95246,0.890411,1.176471,0.910532,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.95246,0.890411,1.176471,0.910532,0.95246,0.890411,1.176471,0.910532,0.95246,0.890411,1.176471,0.910532,models/nishinomiya_stadium
