playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,GO,AO,QS,BS,Holds,SvOpp,NumberOfPitches,BABIP AB Against,H-HR actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,IP,BF
achirta01,2017,1,CHD,AL,0,1,4,1,0,0,0,39,12,7,2,5,8,,4.85,,0,0,0,54,2,7,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,13.0,54
achirta01,2018,1,CHD,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
achirta01,2019,1,CHD,AL,1,3,7,7,0,0,0,102,37,22,11,13,21,,5.82,,0,1,0,146,0,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,34.0,146
achirta01,2020,1,CHD,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
acostma01,2013,1,YMG,AL,1,0,14,0,0,0,0,39,15,8,4,4,12,,5.54,,0,0,1,57,4,8,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,13.0,57
acrema01,1998,1,YKS,AL,0,2,12,11,0,0,0,208,47,18,6,34,58,,2.34,,1,3,0,288,0,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,69.1,288
acrema01,1999,1,YKS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
adachmi01,1959,1,HKB,NL,4,7,36,11,2,0,0,335,113,47,4,25,63,,3.78,,0,3,0,466,7,57,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,111.2,466
adachmi01,1960,1,HKB,NL,4,7,41,13,1,1,0,337,101,40,6,19,52,,3.19,,1,3,0,449,12,42,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,112.1,449
adachmi01,1961,1,HKB,NL,1,4,27,6,0,0,0,186,71,28,7,11,37,,4.06,,0,2,0,267,8,33,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,62.0,267
